Support_received_for_Stemborer,Institutions_provided_support_Stemborer,other_institutions_that_provided_support_for_Stemborer,PARENT_KEY,KEY
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:94213dc1-005b-4489-aae8-86db0f9eb554,uuid:94213dc1-005b-4489-aae8-86db0f9eb554/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d,uuid:40c97b53-22f7-4021-95d5-a4fa01989a7d/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:43d88ed3-5908-46cb-9789-3dde2cd308e1,uuid:43d88ed3-5908-46cb-9789-3dde2cd308e1/sclamp/Stemborer_Support[1]
Improved_seed,Govt_extension_agent,,uuid:43d88ed3-5908-46cb-9789-3dde2cd308e1,uuid:43d88ed3-5908-46cb-9789-3dde2cd308e1/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:d3efd66c-bd84-41d0-8971-db8d4df8326e,uuid:d3efd66c-bd84-41d0-8971-db8d4df8326e/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44/sclamp/Stemborer_Support[3]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44,uuid:ee95e5f7-42ee-4266-a0d3-10ddc1881e44/sclamp/Stemborer_Support[4]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:e917f2f1-082c-4139-94a5-2f166e29cfc1,uuid:e917f2f1-082c-4139-94a5-2f166e29cfc1/sclamp/Stemborer_Support[1]
