maize_varieties_grown,maize_variety_improved_or_local,reason_growing_maize_variety_ml,other_reason_growing_maize_variety,PARENT_KEY,KEY
Shone ,Improved,High_yielding Disease_resistance Early_maturity Drought_tolerance,,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Specify_Maize_Variety[1]
BH-540 ,Improved,High_yielding Seed_availability Early_maturity,,uuid:e6a7014d-acb0-410f-b6f9-0a58c2b5b52d,uuid:e6a7014d-acb0-410f-b6f9-0a58c2b5b52d/sclamp/Specify_Maize_Variety[1]
Shone ,Improved,High_yielding Seed_availability Early_maturity Drought_tolerance,,uuid:936eb61a-8a3b-43ea-bb68-ddf2870f6f5c,uuid:936eb61a-8a3b-43ea-bb68-ddf2870f6f5c/sclamp/Specify_Maize_Variety[1]
Shone ,Improved,High_yielding Seed_availability Drought_tolerance,,uuid:5d6bb78d-d446-433d-a965-369eb454e760,uuid:5d6bb78d-d446-433d-a965-369eb454e760/sclamp/Specify_Maize_Variety[1]
BH-540 ,Improved,High_yielding Disease_resistance,,uuid:56e7edca-04c4-4f72-a410-05f8fdd8c9fb,uuid:56e7edca-04c4-4f72-a410-05f8fdd8c9fb/sclamp/Specify_Maize_Variety[1]
Shone ,Improved,High_yielding Seed_availability Easy_preparation,,uuid:bc9a8e9b-7c56-4321-a444-b840143da5e9,uuid:bc9a8e9b-7c56-4321-a444-b840143da5e9/sclamp/Specify_Maize_Variety[1]
Local,Local,Seed_availability other,No improved Seeds Availability,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Specify_Maize_Variety[1]
Bh540,Improved,Seed_availability High_yielding Early_maturity,,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb/sclamp/Specify_Maize_Variety[1]
Local,Local,Seed_availability,,uuid:0f04ab28-b044-418a-b358-c6cf0868b02a,uuid:0f04ab28-b044-418a-b358-c6cf0868b02a/sclamp/Specify_Maize_Variety[1]
Local,Local,Seed_availability,,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Specify_Maize_Variety[1]
Local,Local,Seed_availability,,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9/sclamp/Specify_Maize_Variety[1]
Local,Local,other,No money to buy improved,uuid:5de54179-90a4-4982-9304-b5ff4b334f69,uuid:5de54179-90a4-4982-9304-b5ff4b334f69/sclamp/Specify_Maize_Variety[1]
